Date,rate
1/4/1982,11.8700
1/5/1982,12.2000
1/6/1982,12.1600
1/7/1982,12.1700
1/8/1982,11.9800
1/11/1982,12.4900
1/12/1982,12.5200
1/13/1982,12.7000
1/14/1982,13.1700
1/15/1982,12.7400
1/18/1982,13.4100
1/19/1982,13.1300
1/20/1982,13.5100
1/21/1982,13.6500
1/22/1982,13.6300
1/25/1982,14.0600
1/26/1982,13.6500
1/27/1982,13.4000
1/28/1982,12.8400
1/29/1982,13.0800
2/1/1982,14.7700
2/2/1982,14.4900
2/3/1982,14.6400
2/4/1982,14.3800
2/5/1982,14.6300
2/8/1982,15.0400
2/9/1982,14.9100
2/10/1982,14.8800
2/11/1982,15.0600
2/16/1982,15.4900
2/17/1982,15.3100
2/18/1982,14.5800
2/19/1982,14.1700
2/22/1982,13.1300
2/23/1982,12.9300
2/24/1982,12.8300
2/25/1982,12.7900
2/26/1982,13.0000
3/1/1982,12.8100
3/2/1982,13.2200
3/3/1982,12.8500
3/4/1982,12.8500
3/5/1982,12.8600
3/8/1982,12.6800
3/9/1982,12.9300
3/10/1982,13.0000
3/11/1982,13.2400
3/12/1982,13.4000
3/15/1982,13.4700
3/16/1982,13.3300
3/17/1982,13.3600
3/18/1982,13.4500
3/19/1982,13.6900
3/22/1982,13.2600
3/23/1982,13.1100
3/24/1982,13.3900
3/25/1982,13.3500
3/26/1982,13.6900
3/29/1982,14.1600
3/30/1982,14.1500
3/31/1982,13.9900
4/1/1982,13.8700
4/2/1982,13.9500
4/5/1982,13.7600
4/6/1982,13.7700
4/7/1982,13.8000
4/8/1982,13.7400
4/12/1982,13.4300
4/13/1982,13.3300
4/14/1982,13.4400
4/15/1982,13.4700
4/16/1982,13.2100
4/19/1982,13.0400
4/20/1982,13.0700
4/21/1982,12.7300
4/22/1982,12.9900
4/23/1982,12.9900
4/26/1982,13.1700
4/27/1982,13.0400
4/28/1982,13.0900
4/29/1982,13.2000
4/30/1982,13.1500
5/3/1982,13.4600
5/4/1982,13.6000
5/5/1982,13.3900
5/6/1982,13.0800
5/7/1982,13.0200
5/10/1982,13.2100
5/11/1982,12.9700
5/12/1982,13.0500
5/13/1982,13.0900
5/14/1982,12.9200
5/17/1982,13.0200
5/18/1982,12.8800
5/19/1982,12.4700
5/20/1982,12.0000
5/21/1982,11.9900
5/24/1982,11.9900
5/25/1982,12.0700
5/26/1982,12.0400
5/27/1982,12.0600
5/28/1982,11.9700
6/1/1982,12.5500
6/2/1982,12.6900
6/3/1982,12.6300
6/4/1982,12.7800
6/7/1982,12.7100
6/8/1982,12.7900
6/9/1982,12.6200
6/10/1982,12.5200
6/11/1982,12.5500
6/14/1982,12.8800
6/15/1982,12.9300
6/16/1982,13.0300
6/17/1982,13.1500
6/18/1982,13.3100
6/21/1982,13.1100
6/22/1982,13.3700
6/23/1982,13.6700
6/24/1982,13.6000
6/25/1982,13.8700
6/28/1982,13.8100
6/29/1982,13.8000
6/30/1982,13.3600
7/1/1982,13.1400
7/2/1982,13.3600
7/6/1982,13.1800
7/7/1982,13.3100
7/8/1982,12.4800
7/9/1982,12.2900
7/12/1982,12.2200
7/13/1982,12.4800
7/14/1982,12.5300
7/15/1982,12.1400
7/16/1982,11.6800
7/19/1982,11.5200
7/20/1982,11.1100
7/21/1982,11.1900
7/22/1982,10.8300
7/23/1982,10.7300
7/26/1982,10.8700
7/27/1982,11.1200
7/28/1982,11.4100
7/29/1982,10.9700
7/30/1982,10.5700
8/2/1982,9.7200
8/3/1982,10.1800
8/4/1982,10.1200
8/5/1982,10.1900
8/6/1982,10.7100
8/9/1982,10.2500
8/10/1982,10.4200
8/11/1982,10.3700
8/12/1982,9.7400
8/13/1982,9.6000
8/16/1982,8.9800
8/17/1982,8.3300
8/18/1982,8.3500
8/19/1982,7.7600
8/20/1982,7.3100
8/23/1982,7.7500
8/24/1982,7.8600
8/25/1982,7.6700
8/26/1982,7.3700
8/27/1982,8.1000
8/30/1982,8.4400
8/31/1982,8.7200
9/1/1982,8.7300
9/2/1982,8.6600
9/3/1982,8.4600
9/7/1982,8.6800
9/8/1982,8.6000
9/9/1982,8.5700
9/10/1982,8.6600
9/13/1982,8.4100
9/14/1982,8.1600
9/15/1982,8.4400
9/16/1982,8.3100
9/17/1982,8.2300
9/20/1982,8.0400
9/21/1982,7.8800
9/22/1982,7.5800
9/23/1982,7.5200
9/24/1982,7.8500
9/27/1982,7.8300
9/28/1982,7.7200
9/29/1982,7.8400
9/30/1982,7.8800
10/1/1982,7.6000
10/4/1982,8.2100
10/5/1982,8.4400
10/6/1982,8.3300
10/7/1982,8.0400
10/8/1982,8.0000
10/12/1982,7.6100
10/13/1982,7.6700
10/14/1982,7.7900
10/15/1982,7.8000
10/18/1982,7.6600
10/19/1982,7.7300
10/20/1982,7.8000
10/21/1982,7.8100
10/22/1982,7.8800
10/25/1982,8.1200
10/26/1982,8.2400
10/27/1982,8.2800
10/28/1982,8.1700
10/29/1982,8.1700
11/1/1982,8.0600
11/3/1982,8.0600
11/4/1982,7.9900
11/5/1982,8.0400
11/8/1982,8.1800
11/9/1982,8.2800
11/10/1982,8.3600
11/12/1982,8.5600
11/15/1982,8.8000
11/16/1982,8.7000
11/17/1982,8.6500
11/18/1982,8.5500
11/19/1982,8.3800
11/22/1982,8.2600
11/23/1982,8.2200
11/24/1982,8.2000
11/26/1982,8.1900
11/29/1982,8.5400
11/30/1982,8.5600
12/1/1982,8.5500
12/2/1982,8.3200
12/3/1982,8.1000
12/6/1982,8.1300
12/7/1982,8.1900
12/8/1982,8.2400
12/9/1982,8.2300
12/10/1982,8.3100
12/13/1982,8.2700
12/14/1982,7.9300
12/15/1982,7.8800
12/16/1982,8.1000
12/17/1982,8.1300
12/20/1982,8.1400
12/21/1982,8.1700
12/22/1982,8.1800
12/23/1982,8.1800
12/27/1982,8.1600
12/28/1982,8.3300
12/29/1982,8.4300
12/30/1982,8.2900
12/31/1982,8.2000
1/3/1983,8.1700
1/4/1983,8.2800
1/5/1983,8.2500
1/6/1983,8.2000
1/7/1983,8.0200
1/10/1983,7.9600
1/11/1983,7.9400
1/12/1983,7.9400
1/13/1983,7.9200
1/14/1983,7.7900
1/17/1983,7.8500
1/18/1983,7.9000
1/19/1983,7.9400
1/20/1983,8.0400
1/21/1983,8.2900
1/24/1983,8.3700
1/25/1983,8.3200
1/26/1983,8.3600
1/27/1983,8.3000
1/28/1983,8.2600
1/31/1983,8.3600
2/1/1983,8.4500
2/2/1983,8.4500
2/3/1983,8.4300
2/4/1983,8.5200
2/7/1983,8.5000
2/8/1983,8.5700
2/9/1983,8.5500
2/10/1983,8.4500
2/11/1983,8.4200
2/14/1983,8.5300
2/15/1983,8.6000
2/16/1983,8.4800
2/17/1983,8.3800
2/18/1983,8.2600
2/22/1983,8.1700
2/23/1983,8.2400
2/24/1983,8.2000
2/25/1983,8.0800
2/28/1983,8.2100
3/1/1983,8.2600
3/2/1983,8.3000
3/3/1983,8.2500
3/4/1983,8.2900
3/7/1983,8.4800
3/8/1983,8.6100
3/9/1983,8.5700
3/10/1983,8.5500
3/11/1983,8.5600
3/14/1983,8.5100
3/15/1983,8.5500
3/16/1983,8.6100
3/17/1983,8.6300
3/18/1983,8.7400
3/21/1983,8.8000
3/22/1983,8.9300
3/23/1983,8.7800
3/24/1983,8.8300
3/25/1983,9.0000
3/28/1983,9.0100
3/29/1983,8.9700
3/30/1983,8.9800
3/31/1983,8.9600
4/4/1983,8.9700
4/5/1983,8.8000
4/6/1983,8.7200
4/7/1983,8.6800
4/8/1983,8.6300
4/11/1983,8.4500
4/12/1983,8.4900
4/13/1983,8.4800
4/14/1983,8.4200
4/15/1983,8.4300
4/18/1983,8.3600
4/19/1983,8.4700
4/20/1983,8.4000
4/21/1983,8.4400
4/22/1983,8.4400
4/25/1983,8.4400
4/26/1983,8.4500
4/27/1983,8.4100
4/28/1983,8.4100
4/29/1983,8.3800
5/2/1983,8.3300
5/3/1983,8.3300
5/4/1983,8.3000
5/5/1983,8.3400
5/6/1983,8.2600
5/9/1983,8.4300
5/10/1983,8.3000
5/11/1983,8.2500
5/12/1983,8.3500
5/13/1983,8.3000
5/16/1983,8.4500
5/17/1983,8.4400
5/18/1983,8.4200
5/19/1983,8.4600
5/20/1983,8.4800
5/23/1983,8.7300
5/24/1983,8.8000
5/25/1983,8.8200
5/26/1983,8.8500
5/27/1983,8.8000
5/31/1983,8.9700
6/1/1983,8.9200
6/2/1983,8.8400
6/3/1983,8.8700
6/6/1983,8.9600
6/7/1983,9.1700
6/8/1983,9.1800
6/9/1983,9.0800
6/10/1983,9.1100
6/13/1983,9.0300
6/14/1983,9.0600
