,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,7.157214064,0,0,7.446641469,0,0,7.045207993,0,0,7.212150205,0,0,7.261409568,0,0,7.43941143,0,0,7.538867105,0,0,8.089606954,0,0,9.319504371,0,0,9.654552463,0,0,11.35772206,0,0,12.07323421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8718669,0,0,0,0,0,0,0,0,14.47133025,0,0,15.97983114,0,0,16.32772912,0,0,16.88166798,0,0,16.90190316,0,0,15.88545023,0,0,12.61724265,0,0,12.47930055,0,0,12.31423043,0,0,12.5738062,0,0,12.34096775,0,0,12.78562996,0,0,13.34166048,0,0,0,0,0,13.34232389,0,0,13.56496346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36163522,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.89928373,0,0,32.31355204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16595085,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.321847957,0,0,4.25896305,0,0,4.263163864,0,0,4.147730598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,8.08512892,0,0,8.30023311,0,0,8.481617144,0,0,8.688971573,0,0,8.885244386,0,0,8.964255685,0,0,8.911926779,0,0,9.276739859,0,0,9.594883545,0,0,9.825657406,0,0,9.953772184,0,0,10.05075263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0557471,0,0,0,0,0,0,0,0,12.33305365,0,0,12.89009088,0,0,12.76818042,0,0,12.74704248,0,0,37.49270286,0,0,41.35382745,0,0,35.91228409,0,0,35.67867426,0,0,29.93652547,0,0,30.70615232,0,0,30.03256212,0,0,29.8592734,0,0,36.53642129,0,0,0,0,0,37.0031327,0,0,50.40558501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.95293142,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851807663,0,0,4.560320691,0,0,4.643753047,0,0,5.03409095,0,0,6.235464844,0,0,6.209134126,0,0,6.318740344,0,0,6.903040755,0,0,6.898589885,0,0,0,0,0,6.930542847,0,0,6.940683154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.621219232,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.46083602,0,0,1.684736496,0,0,5.671048783,0,0,6.930564735,0,0,2.897596828,0,0,3.983853281,0,0,5.36054704,0,0,5.87713743,0,0,9.021450674,0,0,8.042231736,0,0,8.027679977,0,0,8.457873107,0,0,0,0,0,6.973275407,0,0,7.61798251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.366904064,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202005798,0,0,94.3188147,0,0,36.31471744,0,0,28.0403394,0,0,32.81788701,0,0,36.04646315,0,0,34.33544641,0,0,35.09905468,0,0,26.70183524,0,0,33.95311747,0,0,33.75739374,0,0,36.79645089,0,0,0,0,0,38.69025256,0,0,35.32101076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06757553,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.983658506,0,0,0,0,0,0,0,0,0,0,0,4.779221621,0,0,4.829200343,0,0,5.135212445,0,0,4.951107678,0,0,5.058000133,0,0,5.221536402,0,0,5.121157428,0,0,5.01849382,0,0,5.017590844,0,0,5.091567445,0,0,5.276136135,0,0,5.3319329,0,0,0,0,0,5.238499073,0,0,5.270917803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.025790318,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00422964,0,0,0,0,0,0,0,0,0,0,0,15.62517176,0,0,16.32631962,0,0,16.45802116,0,0,16.6121133,0,0,16.88216271,0,0,17.57373989,0,0,18.14817111,0,0,18.50914091,0,0,18.82582431,0,0,19.49050555,0,0,20.0637993,0,0,20.02258707,0,0,0,0,0,21.05959454,0,0,21.80441394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.20719555,0,0,0,0
AAOI.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.0758621,0,0,4.988690288,0,0,7.409911745,0,0,7.553791053,0,0,7.682821465,0,0,7.75849973,0,0,7.715503928,0,0,8.15425781,0,0,9.681564246,0,0,9.82231724,0,0,9.717574692,0,0,9.788799296,0,0,10.90844579,0,0,0,0,0,14.54767172,0,0,16.02240517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61251893,0,0,0,0
AAON.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.634122447,0,0,0,0,0,0,0,0,0,0,0,4.470170182,0,0,4.694251457,0,0,3.227861789,0,0,3.287589524,0,0,3.220819932,0,0,3.361952415,0,0,3.454028975,0,0,3.664088709,0,0,3.375024049,0,0,3.555808085,0,0,3.67837873,0,0,3.879535255,0,0,0,0,0,4.024796295,0,0,4.138424185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.760397915,0,0,0,0
