,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,10.02771043,0,0,-0.857632933,0,0,-4.297740363,0,0,-4.948702474,0,0,-2.454809194,0,0,4.699093157,0,0,6.884057971,0,0,9.591520165,0,0,10.58045555,0,0,11.25740619,0,0,12.76595745,0,0,13.62799263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.60454943,0,0,0,0,0,0,0,0,10.32780411,0,0,10.98496019,0,0,9.529481834,0,0,9.208211144,0,0,9.022411128,0,0,7.506087953,0,0,6.335282651,0,0,6.887883358,0,0,8.125208125,0,0,9.162951956,0,0,11.86770428,0,0,10.64973131,0,0,10.74086056,0,0,0,0,0,15.83880037,0,0,15.44490549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95156695,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.68806172,0,0,0,0,0,0,0,0,0,0,0,6.777211531,0,0,19.8389694,0,0,13.7254902,0,0,12.05989941,0,0,3.955710331,0,0,-0.610615312,0,0,4.806828392,0,0,7.535761687,0,0,0,0,0,22.48587571,0,0,18.57091041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47392375,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.99456335,0,0,0,0,0,0,0,0,-13.38420823,0,0,-3.863881352,0,0,0,0,0,7.144361853,0,0,-5.746920225,0,0,2.281542976,0,0,-12.93585051,0,0,-5.384651184,0,0,-1.649581179,0,0,-5.539694183,0,0,-0.367769977,0,0,2.881284481,0,0,-1.51940159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,10.82513399,0,0,10.39504013,0,0,12.2240868,0,0,13.97478353,0,0,13.3695648,0,0,23.15806282,0,0,20.70987472,0,0,24.06608797,0,0,23.68157547,0,0,23.46937515,0,0,24.05335066,0,0,25.96210539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8486024,0,0,0,0,0,0,0,0,34.19132925,0,0,33.64681928,0,0,29.70416604,0,0,28.522983,0,0,338.6996254,0,0,251.9848172,0,0,0.109790615,0,0,2.455578347,0,0,1.764157592,0,0,-87.78982996,0,0,-10.5121455,0,0,-21.74517254,0,0,-12.19920567,0,0,0,0,0,6.424389913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.869160294,0,0,0,0,0,0,0,0,6.93080599,0,0,3.2140728,0,0,7.243293554,0,0,5.827407395,0,0,7.672073652,0,0,8.807382227,0,0,9.487892021,0,0,13.85717391,0,0,10.71120088,0,0,8.174370233,0,0,2.944237008,0,0,2.675871137,0,0,0.769460703,0,0,0,0,0,0.7201632,0,0,0.266082433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.03380747,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.084691209,0,0,0,0,0,0,0,0,-2.637419355,0,0,-8.237669671,0,0,5.502751376,0,0,8.664699546,0,0,8.975069252,0,0,8.415005862,0,0,10.77643228,0,0,13.97792195,0,0,15,0,0,12.34691388,0,0,12.93057764,0,0,14.25901606,0,0,13.63561581,0,0,0,0,0,5.112219451,0,0,9.228616914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72281718,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06248839,0,0,0,0,0,0,0,0,8.572929576,0,0,7.891638485,0,0,9.979792389,0,0,5.201628386,0,0,3.654851674,0,0,3.694500216,0,0,8.690774311,0,0,8.131561297,0,0,6.78003542,0,0,5.899697964,0,0,8.543152311,0,0,7.76916619,0,0,6.895707078,0,0,0,0,0,8.979177175,0,0,7.643606365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.145592377,0,0,0,0
