,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,42.42374005,0,0,44.32758621,0,0,46.73493045,0,0,48.86140558,0,0,48.82135204,0,0,50.93411996,0,0,51.32016429,0,0,41.35793358,0,0,45.85878676,0,0,61.71513243,0,0,69.76703142,0,0,74.27356485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.33414813,0,0,0,0,0,0,0,0,60.25173065,0,0,66.00899101,0,0,68.97250728,0,0,69.68908708,0,0,70.58602554,0,0,67.92307692,0,0,78.49203409,0,0,79.77743668,0,0,79.31567756,0,0,76.13740179,0,0,75.35394933,0,0,75.70025464,0,0,78.50686913,0,0,0,0,0,76.3503909,0,0,77.73826458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6073132,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.49309912,0,0,0,0,0,0,0,0,0,0,0,68.49474066,0,0,69.65953168,0,0,69.83840716,0,0,46.78911382,0,0,0,0,0,42.01644619,0,0,43.36489439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.03588144,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.01109518,0,0,0,0,0,0,0,0,0,0,0,43.36184021,0,0,0,0,0,71.0555437,0,0,69.80642264,0,0,60.23773494,0,0,0,0,0,69.03789164,0,0,0,0,0,109.3655978,0,0,87.5905835,0,0,84.72338875,0,0,82.99836464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,98.71367115,0,0,101.524842,0,0,101.0899868,0,0,97.563613,0,0,91.62493425,0,0,93.45224024,0,0,92.35855248,0,0,96.08850423,0,0,93.97408413,0,0,96.64973881,0,0,96.75504545,0,0,95.71206039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.1822595,0,0,0,0,0,0,0,0,89.17286585,0,0,89.11663905,0,0,84.14478488,0,0,82.93411397,0,0,78.26134345,0,0,65.38853115,0,0,68.31197858,0,0,68.47245119,0,0,70.93280292,0,0,66.71127861,0,0,66.78504894,0,0,66.18344143,0,0,65.4479643,0,0,0,0,0,65.61156845,0,0,65.82505297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.92903799,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76917795,0,0,0,0,0,0,0,0,32.32647242,0,0,106.0687509,0,0,76.20357116,0,0,65.13260901,0,0,49.1578914,0,0,46.83318731,0,0,47.15591382,0,0,45.1889873,0,0,43.5406533,0,0,0,0,0,41.4977829,0,0,40.91117323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.73388087,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.68085106,0,0,0,0,0,0,0,0,0,0,0,-6.638630949,0,0,2.577804981,0,0,9.371344694,0,0,11.56180951,0,0,4.724501484,0,0,6.047346081,0,0,7.750021315,0,0,7.886957798,0,0,11.73347215,0,0,9.531711661,0,0,8.520897145,0,0,8.656139728,0,0,0,0,0,6.615888083,0,0,7.01605288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280242103,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.014630209,0,0,0,0,0,0,0,0,0,0,0,1.59139213,0,0,34.35947117,0,0,7.059788281,0,0,4.441187628,0,0,5.508071883,0,0,6.035364495,0,0,5.816783336,0,0,5.506826999,0,0,5.810249467,0,0,243.6785081,0,0,260.8340597,0,0,250.6071191,0,0,0,0,0,182.9060357,0,0,192.7492971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.908452,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.10188364,0,0,0,0,0,0,0,0,0,0,0,35.25476895,0,0,35.76997092,0,0,34.50533094,0,0,34.01180304,0,0,34.65853715,0,0,36.61351324,0,0,35.86228924,0,0,34.11222675,0,0,34.28043923,0,0,35.88192805,0,0,35.27589235,0,0,35.18645907,0,0,0,0,0,35.39651134,0,0,33.59481657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.56651108,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.49016125,0,0,0,0,0,0,0,0,0,0,0,71.42244931,0,0,75.07019834,0,0,50.54551268,0,0,52.74343619,0,0,49.87255915,0,0,56.03939295,0,0,58.18654042,0,0,59.21123503,0,0,51.68882873,0,0,58.35401352,0,0,63.48481738,0,0,65.28488681,0,0,0,0,0,65.91375021,0,0,67.40433474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.62713353,0,0,0,0
