,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,12.00207828,0,0,5.488850772,0,0,-1.639344262,0,0,-1.689800845,0,0,-0.691809864,0,0,6.512778236,0,0,7.528180354,0,0,10.1344364,0,0,12.56429096,0,0,12.70572745,0,0,12.29662078,0,0,14.79435236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81248177,0,0,0,0,0,0,0,0,10.13033175,0,0,10.67531702,0,0,11.61405599,0,0,9.794721408,0,0,9.292890263,0,0,7.219596046,0,0,7.01754386,0,0,7.792860734,0,0,8.591408591,0,0,9.930658742,0,0,11.96498054,0,0,10.4543234,0,0,10.87026852,0,0,0,0,0,15.74507966,0,0,15.3065929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.430606431,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.82669212,0,0,0,0,0,0,0,0,0,0,0,-2.639385411,0,0,7.278582931,0,0,3.229527105,0,0,1.726108825,0,0,-6.598803465,0,0,-9.769844998,0,0,-5.098831986,0,0,-2.993658752,0,0,0,0,0,11.6007533,0,0,8.088501995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.498545102,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50.21305775,0,0,0,0,0,0,0,0,-6.870680131,0,0,-23.75385645,0,0,0,0,0,-8.67314695,0,0,-4.875812303,0,0,-15.46267802,0,0,-28.42901175,0,0,-19.69330293,0,0,-15.54477003,0,0,-19.18523952,0,0,-11.05538839,0,0,-8.079326967,0,0,-13.10376221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,5.966052309,0,0,7.512142082,0,0,8.301302372,0,0,9.507590193,0,0,9.369341897,0,0,19.55459122,0,0,16.52176333,0,0,19.30769644,0,0,19.67899889,0,0,18.51448956,0,0,18.96282242,0,0,20.81061276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.22490147,0,0,0,0,0,0,0,0,30.01524343,0,0,29.41141531,0,0,27.71278239,0,0,26.45416774,0,0,218.8031955,0,0,163.0992871,0,0,1.808608694,0,0,0.120847145,0,0,2.195453852,0,0,-87.57736297,0,0,-9.041054057,0,0,-22.40990751,0,0,-10.09109472,0,0,0,0,0,7.529741499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.664268948,0,0,0,0,0,0,0,0,3.946122877,0,0,1.289085112,0,0,2.795598843,0,0,1.803962637,0,0,3.228533851,0,0,4.787618074,0,0,4.948275459,0,0,7.489105344,0,0,5.83131466,0,0,3.92959611,0,0,-0.411642284,0,0,-0.311929286,0,0,-2.139640725,0,0,0,0,0,-2.250852284,0,0,-3.00633435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.55792645,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.547777107,0,0,0,0,0,0,0,0,0.861935484,0,0,-6.857869349,0,0,4.802401201,0,0,6.290103508,0,0,7.03293321,0,0,6.757327081,0,0,9.484074489,0,0,12.76266099,0,0,13.80420918,0,0,18.56550378,0,0,7.41918389,0,0,8.334175169,0,0,7.85429897,0,0,0,0,0,2.431421446,0,0,5.002653288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17011293,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0152873,0,0,47.90252758,0,0,65.40660225,0,0,68.08965061,0,0,61.48621495,0,0,58.71324693,0,0,21.71961986,0,0,20.03638913,0,0,11.53435704,0,0,-19.7050371,0,0,-19.50207469,0,0,-21.01393928,0,0,-21.00667694,0,0,0,0,0,-26.3021353,0,0,-31.69670603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.29084516,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.172469033,0,0,0,0,0,0,0,0,7.677546268,0,0,6.665094425,0,0,1.992225462,0,0,2.050854422,0,0,2.510326789,0,0,2.663524149,0,0,1.687464895,0,0,4.70829785,0,0,3.389911168,0,0,2.644377083,0,0,2.15105277,0,0,1.362423894,0,0,1.021832953,0,0,0,0,0,-0.503887458,0,0,1.416145661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.379406423,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.819996773,0,0,0,0,0,0,0,0,5.830153756,0,0,5.399817688,0,0,6.548939826,0,0,3.723886725,0,0,2.856224151,0,0,2.902858703,0,0,5.991988455,0,0,5.644043516,0,0,4.832743071,0,0,4.267906091,0,0,5.815242262,0,0,5.364951514,0,0,4.876237275,0,0,0,0,0,6.311023333,0,0,5.399054812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.124417493,0,0,0,0
AAOI.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49004273,0,0,0,0,0,0,0,0,-1.618507681,0,0,-1.792818525,0,0,0.341928477,0,0,3.484671964,0,0,3.807225329,0,0,3.283275456,0,0,-2.232585831,0,0,6.778854581,0,0,5.924746807,0,0,5.683427855,0,0,-2.637737496,0,0,-0.687951853,0,0,9.674483684,0,0,0,0,0,20.56555537,0,0,22.8750673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.802347971,0,0,0,0
AAON.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.055668824,0,0,0,0,0,0,0,0,12.01990604,0,0,11.69178551,0,0,12.86157634,0,0,12.55950722,0,0,12.38061224,0,0,12.39272344,0,0,10.94075657,0,0,11.69100172,0,0,12.54002441,0,0,12.75067479,0,0,12.65013697,0,0,13.39451691,0,0,14.35330421,0,0,0,0,0,11.86946723,0,0,12.81242663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.810414636,0,0,0,0
AAP.N,4.629058652,0,0,5.55850552,0,0,5.784671776,0,0,5.525671249,0,0,4.995230593,0,0,5.977856513,0,0,6.474926444,0,0,6.400329275,0,0,5.840356862,0,0,5.773412158,0,0,6.592553603,0,0,6.777833071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.247700444,0,0,0,0,0,0,0,0,6.735318243,0,0,6.032787511,0,0,4.974778574,0,0,5.401606411,0,0,5.382013007,0,0,5.016578353,0,0,4.874938821,0,0,5.512113855,0,0,5.433640126,0,0,4.861837577,0,0,5.329692346,0,0,5.412846192,0,0,5.307525076,0,0,0,0,0,3.734557246,0,0,3.783229041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.424034351,0,0,0,0
AAPC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL.O,14.88346316,0,0,15.78636766,0,0,15.33006001,0,0,15.14606067,0,0,15.61157183,0,0,21.53924632,0,0,22.10951957,0,0,21.62336794,0,0,21.48409352,0,0,22.4524139,0,0,23.3251634,0,0,24.13008415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6650906,0,0,0,0,0,0,0,0,22.12638079,0,0,21.67046984,0,0,22.6968087,0,0,22.56392871,0,0,22.06764672,0,0,21.61437676,0,0,24.16118179,0,0,23.82417483,0,0,23.19799796,0,0,22.8457737,0,0,24.19996837,0,0,22.84048755,0,0,21.72738422,0,0,0,0,0,22.83442458,0,0,22.03478937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.41420207,0,0,0,0
AAT.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.91441652,0,0,0,0,0,0,0,0,8.238451358,0,0,8.858412041,0,0,10.41077041,0,0,9.520525139,0,0,10.90263639,0,0,11.97884615,0,0,17.23177103,0,0,17.81798741,0,0,20.91644495,0,0,19.56113967,0,0,15.15742744,0,0,14.99193266,0,0,15.20597091,0,0,0,0,0,13.96899393,0,0,11.85966679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.221430363,0,0,0,0
AAU.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1481.274049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3422.294906,0,0,0,0,0,0,0,0,-2240.481972,0,0,-2883.705179,0,0,-1855.514175,0,0,-973.764033,0,0,-1303.916268,0,0,-5898.896811,0,0,-8599.057819,0,0,-2839.837777,0,0,-576.5770093,0,0,-377.2292957,0,0,-653.959171,0,0,-1120.139601,0,0,-998.5291463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAV.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.36996921,0,0,0,0,0,0,0,0,1.990485852,0,0,1.01558745,0,0,-136.4666013,0,0,-46.21502653,0,0,-23.64819427,0,0,7.638500416,0,0,13.09340023,0,0,3.428230481,0,0,9.543974635,0,0,16.90307889,0,0,56.957314,0,0,-28.49042696,0,0,-7.167530225,0,0,0,0,0,64.38139067,0,0,46.83202832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
