,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,2.147779509,0,0,0.049238781,0,0,0.448516755,0,0,0.565033865,0,0,1.166456048,0,0,0.086170789,0,0,0.732626186,0,0,0.996043683,0,0,2.061155571,0,0,0.34770297,0,0,1.430848871,0,0,2.16004906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53639407,0,0,0,0,0,0,0,0,2.342862114,0,0,3.471882125,0,0,0.581847805,0,0,1.557338372,0,0,1.640117266,0,0,2.120351244,0,0,-0.059557435,0,0,0.48920779,0,0,0.766437911,0,0,1.478154814,0,0,0.317295586,0,0,1.105917056,0,0,1.723262241,0,0,0,0,0,0.359912114,0,0,1.160773536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41251869,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401726854,0,0,2.089472209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.424632767,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069338741,0,0,-0.096644172,0,0,-0.069326154,0,0,-0.163806271,0,0,-0.110035857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,1.35117494,0,0,0.188173061,0,0,0.430610438,0,0,0.685477313,0,0,0.931917572,0,0,0.103638016,0,0,0.360289457,0,0,0.642961828,0,0,0.947551871,0,0,0.159645297,0,0,0.420492525,0,0,0.719898622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.252462042,0,0,0,0,0,0,0,0,0.826773169,0,0,1.178351792,0,0,0.137584716,0,0,0.498628577,0,0,0.802340437,0,0,0.95715588,0,0,-3.134128138,0,0,-2.797807097,0,0,-2.641409688,0,0,-2.519862473,0,0,0.385729908,0,0,0.816593753,0,0,1.042095846,0,0,0,0,0,0.223940913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369800069,0,0,0.376057797,0,0,-0.116019219,0,0,0.30220864,0,0,0.259915168,0,0,0.271458396,0,0,0.186293476,0,0,0.266624758,0,0,0.055512684,0,0,0,0,0,0.18092354,0,0,0.348657124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.174183158,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.585523367,0,0,1.932446611,0,0,3.659949986,0,0,3.173197614,0,0,4.41593183,0,0,3.594692505,0,0,7.137075968,0,0,9.406231915,0,0,10.00444459,0,0,4.473598121,0,0,8.99762925,0,0,11.35870592,0,0,0,0,0,4.538579597,0,0,8.07526652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.670248859,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.709118647,0,0,-9.268405376,0,0,-8.296646974,0,0,-20.44124152,0,0,-42.85584435,0,0,-61.86041453,0,0,-21.70754609,0,0,-39.95027564,0,0,-58.98549716,0,0,-71.66575147,0,0,-4.354865519,0,0,-3.710973914,0,0,-1.861619799,0,0,0,0,0,-3.789702855,0,0,-2.211498648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5415987,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288218504,0,0,0,0,0,0,0,0,0.355274005,0,0,0.616539335,0,0,-0.205096414,0,0,-0.025811621,0,0,-0.085908613,0,0,0.216164639,0,0,-0.206078114,0,0,-0.0931146,0,0,-0.066467863,0,0,0.108143642,0,0,-0.341173859,0,0,-0.391282463,0,0,-0.111384744,0,0,0,0,0,-0.301046843,0,0,-0.282328583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221116529,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789140234,0,0,0,0,0,0,0,0,3.20867969,0,0,4.227664497,0,0,0.771066064,0,0,-0.370973744,0,0,-0.150723018,0,0,-0.675578474,0,0,3.10131471,0,0,3.02238261,0,0,2.939032701,0,0,2.297213477,0,0,2.67412625,0,0,4.45824788,0,0,6.327380242,0,0,0,0,0,1.46245683,0,0,1.634659764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.306281792,0,0,0,0
