,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,9.245547328,0,0,0.90338062,0,0,-0.544798645,0,0,-0.824742268,0,0,-0.424105616,0,0,1.040431977,0,0,2.431887639,0,0,4.691239828,0,0,7.903859487,0,0,2.175873732,0,0,4.284546198,0,0,7.837823188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76950952,0,0,0,0,0,0,0,0,4.929374459,0,0,6.823108095,0,0,1.828925155,0,0,3.076639646,0,0,4.566600209,0,0,4.684667937,0,0,0.785425985,0,0,1.700773578,0,0,2.856193955,0,0,4.383951022,0,0,1.664298762,0,0,2.830875058,0,0,4.417274699,0,0,0,0,0,2.144772118,0,0,4.199873498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724877704,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.918359787,0,0,-1.237201365,0,0,-1.616494342,0,0,-1.548134528,0,0,0,0,0,1.330691664,0,0,1.782001782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359892167,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.85469123,0,0,0,0,0,0,0,0,0,0,0,-8.47913534,0,0,0,0,0,-1.390094061,0,0,-0.923288889,0,0,-5.75712671,0,0,0,0,0,-4.268906291,0,0,0,0,0,-7.381837839,0,0,-1.075259105,0,0,-1.610275369,0,0,-3.921092207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,3.273956234,0,0,0.85728009,0,0,1.86518967,0,0,3.166425719,0,0,4.177981895,0,0,2.096957984,0,0,3.574941484,0,0,6.309174257,0,0,8.248442764,0,0,1.493760629,0,0,3.09369397,0,0,5.114500914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.74737612,0,0,0,0,0,0,0,0,6.361279243,0,0,8.058702712,0,0,1.865855294,0,0,3.495213665,0,0,19.85191119,0,0,19.09909748,0,0,0.037786419,0,0,-0.000636287,0,0,0.147614307,0,0,-8.154576585,0,0,-0.222089442,0,0,-1.205894621,0,0,-0.753575508,0,0,0,0,0,0.192232509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.564177626,0,0,6.632980359,0,0,1.623598609,0,0,4.64548295,0,0,4.910463921,0,0,4.837218967,0,0,0.185723975,0,0,0.429930601,0,0,-0.306437045,0,0,0,0,0,-0.154515148,0,0,-0.637289937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.07941297,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.575484891,0,0,1.116084404,0,0,3.084201219,0,0,5.286231507,0,0,6.698508989,0,0,2.071594483,0,0,5.787491904,0,0,9.417011094,0,0,16.60846792,0,0,1.42386396,0,0,3.317716607,0,0,4.796881123,0,0,0,0,0,0.450428774,0,0,1.982602046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.491068672,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.700633191,0,0,0.378543229,0,0,0.982241737,0,0,1.791507374,0,0,2.865186584,0,0,0.250693201,0,0,0.276831547,0,0,0.202857487,0,0,-0.124468597,0,0,-0.072678464,0,0,-0.170632258,0,0,-0.253197665,0,0,0,0,0,-2.043775247,0,0,-4.849022668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.81886765,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.446755415,0,0,0.259771939,0,0,0.517232183,0,0,0.989461045,0,0,1.392230224,0,0,0.219297898,0,0,1.252962826,0,0,1.347816421,0,0,1.389462818,0,0,0.292157934,0,0,0.358814746,0,0,0.404963953,0,0,0,0,0,-0.069990531,0,0,0.38044588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204796127,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.629808756,0,0,2.078892616,0,0,2.232440394,0,0,2.728436511,0,0,3.652317216,0,0,2.025833981,0,0,3.732226885,0,0,4.756706182,0,0,5.305568973,0,0,1.893828297,0,0,3.365995952,0,0,4.482085108,0,0,0,0,0,2.034265737,0,0,3.47162378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.110402765,0,0,0,0
