,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,11.78571429,0,0,1.081812035,0,0,-0.660242684,0,0,-1.006651088,0,0,-0.555306762,0,0,1.546290859,0,0,3.650204958,0,0,6.583809204,0,0,11.23890897,0,0,3.103392828,0,0,6.186540732,0,0,11.40108807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82720374,0,0,0,0,0,0,0,0,6.362001612,0,0,8.943792464,0,0,2.452675932,0,0,4.153970524,0,0,6.014755533,0,0,6.376518219,0,0,1.091074405,0,0,2.382416231,0,0,3.977491714,0,0,6.042341596,0,0,2.269163361,0,0,3.901194057,0,0,6.106315311,0,0,0,0,0,3.016699587,0,0,5.963714748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.251786605,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.806560135,0,0,-1.46533367,0,0,-1.917025355,0,0,-1.818625231,0,0,0,0,0,1.616960115,0,0,2.175883953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70458812,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.0875732,0,0,0,0,0,0,0,0,0,0,0,-9.515717927,0,0,0,0,0,-1.72558031,0,0,-1.142292111,0,0,-7.038251366,0,0,0,0,0,-5.778191985,0,0,0,0,0,-11.46257185,0,0,-1.719232469,0,0,-2.498448389,0,0,-6.06024398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,3.837480532,0,0,1.031398349,0,0,2.23528217,0,0,3.730272525,0,0,4.777660829,0,0,2.304019517,0,0,3.91066308,0,0,7.019129936,0,0,9.123875686,0,0,1.674588644,0,0,3.464878057,0,0,5.710430664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.62134273,0,0,0,0,0,0,0,0,7.169355786,0,0,9.402605548,0,0,2.076594214,0,0,3.878416091,0,0,23.88765036,0,0,20.35090633,0,0,0.039067096,0,0,-0.000657913,0,0,0.153236031,0,0,-8.481954708,0,0,-0.23029551,0,0,-1.248126967,0,0,-0.777811029,0,0,0,0,0,0.197021604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.451425898,0,0,9.67810182,0,0,2.420902207,0,0,6.352082238,0,0,5.703438228,0,0,5.666874597,0,0,0.192054326,0,0,0.438861188,0,0,-0.314717698,0,0,0,0,0,-0.152207578,0,0,-0.630982783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.2260036,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.716244857,0,0,1.148105626,0,0,3.169732945,0,0,5.431875721,0,0,6.868855389,0,0,2.106619351,0,0,5.877827701,0,0,9.569388567,0,0,16.76174534,0,0,1.436796355,0,0,3.34583798,0,0,4.834332469,0,0,0,0,0,0.453466402,0,0,1.996111721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.534872449,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.825276429,0,0,1.219311842,0,0,2.46503171,0,0,4.053199586,0,0,6.7148536,0,0,0.525469598,0,0,0.585492582,0,0,0.416376237,0,0,-0.265456379,0,0,-0.156468994,0,0,-0.367806795,0,0,-0.545754019,0,0,0,0,0,-4.581320171,0,0,-11.33858268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44.18085063,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75213828,0,0,0.287193784,0,0,0.570109722,0,0,1.073102555,0,0,1.509595987,0,0,0.232611766,0,0,1.356795998,0,0,1.417111103,0,0,1.463608255,0,0,0.305270851,0,0,0.376355988,0,0,0.423252604,0,0,0,0,0,-0.072747143,0,0,0.396197907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216503469,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.358849574,0,0,2.421434741,0,0,2.373049044,0,0,2.898535011,0,0,3.863949543,0,0,2.082985239,0,0,3.807152982,0,0,4.827684206,0,0,5.324815763,0,0,1.958573415,0,0,3.56809567,0,0,4.825920145,0,0,0,0,0,2.325901576,0,0,3.901440053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.196879457,0,0,0,0
