,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,6.531365314,0,0,-16.29576454,0,0,-20.77922078,0,0,-22.80456557,0,0,-22.39348805,0,0,4.030874786,0,0,10.05759858,0,0,16.71695836,0,0,21.49073867,0,0,25.22671063,0,0,28.66344605,0,0,26.34436401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.673469388,0,0,0,0,0,0,0,0,-0.530347672,0,0,-1.108194809,0,0,-0.05952381,0,0,-0.058616647,0,0,2.211690363,0,0,79.27580894,0,0,1.785714286,0,0,-0.350701403,0,0,-0.06655574,0,0,-0.247035573,0,0,0.194931774,0,0,2.91603821,0,0,2.93040293,0,0,0,0,0,3.793774319,0,0,5.959941378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88372093,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.565338424,0,0,0,0,0,0,0,0,0,0,0,-14.81706853,0,0,-31.4331723,0,0,-26.64359862,0,0,-22.48513946,0,0,0,0,0,24.70643495,0,0,23.85444744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0274631,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.58232932,0,0,0,0,0,0,0,0,0,0,0,31.76764461,0,0,0,0,0,26.41810919,0,0,28.89848146,0,0,29.84611382,0,0,0,0,0,29.32679286,0,0,31.83829685,0,0,26.83747227,0,0,29.64265074,0,0,26.95816075,0,0,22.89757779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,3.432610054,0,0,-13.06996801,0,0,-12.79834233,0,0,-12.4724344,0,0,-10.37922997,0,0,1.070731031,0,0,1.439926367,0,0,1.505899113,0,0,-2.099959522,0,0,-23.9582081,0,0,-23.60468981,0,0,-23.74176536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047490078,0,0,0,0,0,0,0,0,-6.212276067,0,0,-6.140217536,0,0,-0.669783789,0,0,-2.579130361,0,0,-1.450366589,0,0,-1.329956115,0,0,8.231440855,0,0,11.38128061,0,0,9.802110571,0,0,7.582458106,0,0,-11.32311557,0,0,-3.014941875,0,0,0.137675958,0,0,0,0,0,22.08688389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.27220413,0,0,0,0,0,0,0,0,9.261983782,0,0,14.88409466,0,0,42.34949972,0,0,63.17923078,0,0,60.72628964,0,0,59.63314482,0,0,52.60023819,0,0,41.69780658,0,0,34.7053819,0,0,0,0,0,11.76929669,0,0,10.3667178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.887649894,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.653196547,0,0,0,0,0,0,0,0,0,0,0,7.596057131,0,0,63.90619875,0,0,70.16816769,0,0,67.69032258,0,0,59.48098568,0,0,-1.68084042,0,0,-3.264484099,0,0,-3.477993229,0,0,-3.892145369,0,0,-3.989009871,0,0,-4.144475646,0,0,-3.089923469,0,0,0,0,0,2.00317965,0,0,4.702495202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.502369668,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4818.811881,0,0,1732.503125,0,0,891.9840538,0,0,485.4987067,0,0,19.14428901,0,0,-13.82972628,0,0,-25.61718042,0,0,-41.38904507,0,0,-94.57909239,0,0,-93.66877425,0,0,-93.04509348,0,0,0,0,0,10.7158639,0,0,-2.808819088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.30176211,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.26601253,0,0,12.30559345,0,0,1.781101626,0,0,0.688104701,0,0,0.575682262,0,0,-0.512633625,0,0,3.595339956,0,0,0.540661233,0,0,-0.230878843,0,0,1.948765538,0,0,-2.473139604,0,0,-0.025380711,0,0,0,0,0,5.059046159,0,0,4.653054389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4509425,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.949875235,0,0,0,0,0,0,0,0,0,0,0,0.985345895,0,0,-1.279405069,0,0,10.00196755,0,0,16.93964525,0,0,20.60304363,0,0,40.37952045,0,0,27.48188375,0,0,21.17964519,0,0,17.9857909,0,0,3.968416211,0,0,3.326307796,0,0,2.298227264,0,0,0,0,0,-1.155511237,0,0,0.998795459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15760698,0,0,0,0
