,12/31/2008,1/30/2009,2/27/2009,3/31/2009,4/30/2009,5/29/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/30/2009,11/30/2009,12/31/2009,1/29/2010,2/26/2010,3/31/2010,4/30/2010,5/28/2010,6/30/2010,7/30/2010,8/31/2010,9/30/2010,10/29/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/29/2011,5/31/2011,6/30/2011,7/29/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/30/2011,1/31/2012,2/29/2012,3/30/2012,4/30/2012,5/31/2012,6/29/2012,7/31/2012,8/31/2012,9/28/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/28/2013,4/30/2013,5/31/2013,6/28/2013,7/31/2013,8/30/2013,9/30/2013,10/31/2013,11/29/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/30/2014,6/30/2014,7/31/2014,8/29/2014,9/30/2014,10/31/2014,11/28/2014,12/31/2014,1/30/2015,2/27/2015,3/31/2015,4/30/2015,5/29/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/30/2015,11/30/2015,12/31/2015,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019
A.N,14.96932515,0,0,-137.037037,0,0,0,0,0,0,0,0,542.8571429,0,0,4.819277108,0,0,15.76576577,0,0,12.69487751,0,0,1.156069364,0,0,2.525252525,0,0,14.19213974,0,0,2.165087957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.54650048,0,0,0,0,0,0,0,0,15.20661157,0,0,15.71594878,0,0,-2.094240838,0,0,11.40583554,0,0,14.26024955,0,0,21.98142415,0,0,9.734513274,0,0,9.090909091,0,0,12.46290801,0,0,8.75,0,0,13.38028169,0,0,17.37451737,0,0,14.50381679,0,0,0,0,0,12.95336788,0,0,13.54166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5961945,0,0,0,0
AA.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.14563107,0,0,54.31235431,0,0,67.24511931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31578947,0,0,31.90839695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.46023795,0,0,0,0
AAAP.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AABA.O,37.92213978,0,0,23.21402002,0,0,28.58487632,0,0,28.8731269,0,0,26.59693673,0,0,13.66902298,0,0,18.25028234,0,0,18.06983172,0,0,15.10915315,0,0,18.81914556,0,0,18.86748511,0,0,17.6704952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.93430516,0,0,0,0,0,0,0,0,9.842978914,0,0,10.02589614,0,0,1.325567067,0,0,2.064031742,0,0,35.12110676,0,0,34.90075058,0,0,0,0,0,85.49978133,0,0,-1373.03432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.48798178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAC.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.09034268,0,0,0,0,0,0,0,0,32.26311668,0,0,29.18841955,0,0,42.23901099,0,0,44.57706279,0,0,43.38275673,0,0,28.64028696,0,0,38.82794457,0,0,37.59703295,0,0,35.78171935,0,0,36.43015014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACC.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAL.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.17241379,0,0,0,0,0,2.636916836,0,0,20.81367925,0,0,13.61058601,0,0,10.2739726,0,0,1.166489926,0,0,0.976709241,0,0,0.960878518,0,0,-64.86135182,0,0,37.33213966,0,0,36.7816092,0,0,37.1676757,0,0,0,0,0,35.89041096,0,0,37.37922705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.05307856,0,0,0,0
AAMC.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547255944,0,0,0.441194525,0,0,0.765457908,0,0,0.836299216,0,0,0.735029555,0,0,1.006450842,0,0,0.920527769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAME.O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71153089,0,0,0,0,0,0,0,0,2.058793404,0,0,1.641977512,0,0,17.42195368,0,0,14.24962102,0,0,11.72181716,0,0,9.665579119,0,0,31.58415842,0,0,22.36968648,0,0,23.18475917,0,0,23.12543798,0,0,34.73837209,0,0,34.27582227,0,0,37.17073171,0,0,0,0,0,0,0,0,32.58977149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAN.N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.49688465,0,0,0,0,0,0,0,0,35.03967544,0,0,34.76102941,0,0,36.84895404,0,0,36.92912538,0,0,35.81987173,0,0,35.7186288,0,0,36.73005268,0,0,36.85013785,0,0,36.22971915,0,0,36.32272898,0,0,37.67935982,0,0,37.38960043,0,0,36.79177367,0,0,0,0,0,35.49011776,0,0,35.79982524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.20186833,0,0,0,0
